City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,dolzhanskaya,46.6311,37.8039,280.17,65,92,6.76,RU,1731370556
345,northam,51.0333,-4.2167,282.38,81,48,2.13,GB,1731370557
346,zaozersk,69.4005,32.4476,275.03,89,99,5.99,RU,1731370558
347,villa gesell,-37.2639,-56.973,285.21,78,69,6.35,AR,1731370559
348,maitum,6.0392,124.4986,301.95,73,29,0.6,PH,1731370560
349,cabedelo,-6.9811,-34.8339,299.52,74,94,3.25,BR,1731370562
350,ginir,7.1333,40.7,286.23,56,67,1.51,ET,1731370563
351,padangsidempuan,1.3667,99.2667,295.48,95,99,0.69,ID,1731370565
352,rocha,-34.4833,-54.3333,287.36,64,97,7.78,UY,1731370566
353,carupano,10.6678,-63.2585,299.7,86,79,4.14,VE,1731370568
354,kabala,9.5833,-11.55,295.12,61,25,1.41,SL,1731370569
355,gurupa,-1.405,-51.64,300.95,59,100,1.72,BR,1731370317
356,heber city,40.5069,-111.4132,285.72,49,2,3.37,US,1731370571
357,opuwo,-18.0607,13.84,291.92,38,15,0.8,NA,1731370572
358,arar,30.9753,41.0381,288.16,72,0,1.54,SA,1731370574
359,kiunga,-6.1219,141.2906,300.1,80,98,0.82,PG,1731370575
360,urumqi,43.801,87.6005,271.68,100,20,1.0,CN,1731370576
361,puerto san jose,13.9256,-90.8244,300.03,80,40,2.2,GT,1731370530
362,san-pedro,4.7485,-6.6363,297.23,93,4,0.97,CI,1731370526
363,bridgetown,13.1,-59.6167,302.42,70,40,8.75,BB,1731370385
364,moog,8.6011,124.4658,302.21,67,49,1.55,PH,1731370581
